category_id;slug;name;subtitle;description;image;banner_image;gallery_images;gold_weight;gold_karat;stones_json
1;YZK-180018;YZK-180018;Pırlanta Yüzük;;/images/products/yuzuk18.jpg;;;3.93;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.22"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-140019;YZK-140019;Pırlanta Yüzük;;/images/products/yuzuk19.jpg;;;4.55;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.77"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-180003;KLY-180003;Pırlanta Kolye;;/images/products/kolye3.jpg;;;37.32;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""12.67"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-140004;KLY-140004;Pırlanta Kolye;;/images/products/kolye4.jpg;;;15.07;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""2.15"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
1;YZK-180020;YZK-180020;Pırlanta Yüzük;;/images/products/yuzuk20.jpg;;;4.20;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""2.00"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-180007;KLY-180007;Pırlanta Kolye;;/images/products/kolye7.jpg;;;2.20;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""0.60"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-140008;KLY-140008;Pırlanta Kolye;;/images/products/kolye8.jpg;;;15.30;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""4.46"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180026;BLK-180026;Pırlanta Bileklik;;/images/products/bileklik26.jpg;;;26.29;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""5.04"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Yakut"", ""carat"": ""8.00"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180001;BLK-180001;Pırlanta Bileklik;;/images/products/bileklik1.jpg;;;46.10;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""19.10"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180002;BLK-180002;Pırlanta Bileklik;;/images/products/bileklik2.jpg;;;30.65;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""7.61"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Pırlanta"", ""carat"": ""16.48"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180003;BLK-180003;Pırlanta Bileklik;;/images/products/bileklik3.jpg;;;23.25;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""3.82"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Yakut"", ""carat"": ""5.22"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-140011;BLK-140011;Pırlanta Bileklik;;/images/products/bileklik11.jpg;;;7.66;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""1.27"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}, {""stone_type"": ""Pırlanta"", ""carat"": ""1.51"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-180005;KLY-180005;Pırlanta Kolye;;/images/products/kolye5.jpg;;;33.47;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""10.93"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
2;KLY-140006;KLY-140006;Pırlanta Kolye;;/images/products/kolye6.jpg;;;16.06;14;"[{""stone_type"": ""Pırlanta"", ""carat"": ""2.65"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180017;BLK-180017;Pırlanta Bileklik;;/images/products/bileklik17.jpg;;;17.50;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""4.53"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
3;BLK-180019;BLK-180019;Pırlanta Bileklik;;/images/products/bileklik19.jpg;;;9.56;18;"[{""stone_type"": ""Pırlanta"", ""carat"": ""3.30"", ""quantity"": 1, ""color"": """", ""clarity"": """", ""cut"": ""Yuvarlak""}]"
